CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
2020-02-15,04:30:00,,,40.885952,-73.8279,POINT (-73.8279 40.885952),CONNER STREET,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4289649,Station Wagon/Sport Utility Vehicle,Sedan,,,
2020-02-15,00:23:00,BROOKLYN,11236,40.631092,-73.907036,POINT (-73.907036 40.631092),AVENUE L,EAST 81 STREET,,3,0,0,0,0,0,3,0,Unspecified,Unspecified,,,,4289769,Sedan,Sedan,,,
2020-02-15,23:43:00,,,40.845253,-73.90935,POINT (-73.90935 40.845253),MORRIS AVENUE,,,2,0,0,0,0,0,2,0,Traffic Control Disregarded,Alcohol Involvement,,,,4290288,Sedan,Station Wagon/Sport Utility Vehicle,,,
2020-02-15,10:00:00,MANHATTAN,10018,40.753185,-73.98721,POINT (-73.98721 40.753185),,,1400 BROADWAY,0,0,0,0,0,0,0,0,Unspecified,,,,,4289334,Station Wagon/Sport Utility Vehicle,,,,
2020-02-15,01:57:00,,,40.677628,-73.894394,POINT (-73.894394 40.677628),FULTON STREET,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4289103,Station Wagon/Sport Utility Vehicle,Sedan,,,
2020-02-15,14:07:00,QUEENS,11368,40.739548,-73.85597,POINT (-73.85597 40.739548),,,57-43 PENROD STREET,0,0,0,0,0,0,0,0,Unspecified,,,,,4289147,Station Wagon/Sport Utility Vehicle,,,,
2020-02-15,15:44:00,BROOKLYN,11234,40.631733,-73.919136,POINT (-73.919136 40.631733),,,5912 FLATLANDS AVENUE,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4289079,Sedan,Station Wagon/Sport Utility Vehicle,,,
2020-02-15,05:30:00,BROOKLYN,11226,40.65217,-73.96141,POINT (-73.96141 40.65217),OCEAN AVENUE,CATON AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,4288775,Sedan,Sedan,Sedan,,
2020-02-15,21:15:00,BROOKLYN,11235,40.577995,-73.95964,POINT (-73.95964 40.577995),BRIGHTON BEACH AVENUE,CONEY ISLAND AVENUE,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4289646,Sedan,Station Wagon/Sport Utility Vehicle,,,
2020-02-15,19:50:00,,,40.65807,-73.960434,POINT (-73.960434 40.65807),FLATBUSH AVENUE,,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,4289451,Station Wagon/Sport Utility Vehicle,Sedan,,,
2020-02-15,22:20:00,MANHATTAN,10029,40.796627,-73.938065,POINT (-73.938065 40.796627),,,2249 2 AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4289085,Taxi,Taxi,,,
2020-02-15,13:15:00,,,40.676937,-73.89907,POINT (-73.89907 40.676937),FULTON STREET,GEORGIA AVENUE,,3,0,0,0,0,0,3,0,Unspecified,Unspecified,,,,4290279,Sedan,Station Wagon/Sport Utility Vehicle,,,
2020-02-15,19:19:00,BROOKLYN,11235,40.588036,-73.96041,POINT (-73.96041 40.588036),CONEY ISLAND AVENUE,KATHLEEN COURT,,1,0,1,0,0,0,0,0,Passing or Lane Usage Improper,,,,,4289644,Station Wagon/Sport Utility Vehicle,,,,
2020-02-15,10:50:00,BROOKLYN,11219,40.62856,-74.01046,POINT (-74.01046 40.62856),,,976 68 STREET,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4288657,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2020-02-15,07:00:00,BRONX,10474,40.81563,-73.88699,POINT (-73.88699 40.81563),,,737 HUNTS POINT AVENUE,0,0,0,0,0,0,0,0,Unspecified,,,,,4289727,Station Wagon/Sport Utility Vehicle,,,,
2020-02-15,17:45:00,BROOKLYN,11201,40.696033,-73.98453,POINT (-73.98453 40.696033),TILLARY STREET,FLATBUSH AVENUE EXTENSION,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4288800,Sedan,,,,
2020-02-15,02:37:00,QUEENS,11378,40.72262,-73.901535,POINT (-73.901535 40.72262),FLUSHING AVENUE,64 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,4290529,Sedan,Sedan,Sedan,,
2020-02-15,10:45:00,QUEENS,11418,40.699215,-73.81609,POINT (-73.81609 40.699215),135 STREET,91 AVENUE,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4289462,Ambulance,Station Wagon/Sport Utility Vehicle,,,
2020-02-15,22:00:00,QUEENS,11412,40.69612,-73.74619,POINT (-73.74619 40.69612),LINDEN BOULEVARD,FRANCIS LEWIS BOULEVARD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4288892,Sedan,Sedan,,,
2020-02-15,03:11:00,QUEENS,11372,40.74662,-73.89359,POINT (-73.89359 40.74662),ROOSEVELT AVENUE,72 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4288622,Station Wagon/Sport Utility Vehicle,Sedan,,,
2020-02-15,16:41:00,BROOKLYN,11213,40.66953,-73.92709,POINT (-73.92709 40.66953),,,1491 LINCOLN PLACE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4291635,Sedan,,,,
2020-02-15,13:30:00,QUEENS,11373,40.736248,-73.86999,POINT (-73.86999 40.736248),,,56-25 92 STREET,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,Unspecified,Unspecified,Unspecified,,4289136,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,
2020-02-15,08:04:00,,,40.617054,-74.035934,POINT (-74.035934 40.617054),MARINE AVENUE,96 STREET,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4288645,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2020-02-15,15:00:00,QUEENS,11365,40.730396,-73.808075,POINT (-73.808075 40.730396),71 AVENUE,SUTTON PLACE,,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,4290186,Sedan,Sedan,,,
2020-02-15,06:34:00,,,40.607185,-74.16239,POINT (-74.16239 40.607185),RICHMOND AVENUE,VICTORY BOULEVARD,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,,,,4289886,Station Wagon/Sport Utility Vehicle,Sedan,,,
2020-02-15,16:09:00,,,40.845024,-73.92632,POINT (-73.92632 40.845024),CROSS BRONX EXPY,,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,Other Vehicular,,,4289658,Sedan,Tractor Truck Diesel,Tractor Truck Diesel,,
2020-02-15,01:00:00,,,40.655987,-74.002686,POINT (-74.002686 40.655987),4 AVENUE,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4288581,Taxi,Sedan,,,
2020-02-15,12:00:00,BROOKLYN,11211,40.708786,-73.9523,POINT (-73.9523 40.708786),,,379 SOUTH 3 STREET,0,0,0,0,0,0,0,0,Unspecified,,,,,4288987,Sedan,,,,
2020-02-15,14:30:00,BROOKLYN,11234,40.632095,-73.91861,POINT (-73.91861 40.632095),RALPH AVENUE,FLATLANDS AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4289080,Station Wagon/Sport Utility Vehicle,Sedan,,,
2020-02-15,09:08:00,BROOKLYN,11229,40.602688,-73.933556,POINT (-73.933556 40.602688),AVENUE U,BURNETT STREET,,3,0,0,0,0,0,3,0,Driver Inattention/Distraction,Unspecified,,,,4289580,Station Wagon/Sport Utility Vehicle,Sedan,,,
2020-02-15,02:00:00,,,40.771736,-73.8015,POINT (-73.8015 40.771736),28 AVENUE,,,0,0,0,0,0,0,0,0,Unspecified,,,,,4288675,Station Wagon/Sport Utility Vehicle,,,,
2020-02-15,19:30:00,MANHATTAN,10011,40.742863,-74.003975,POINT (-74.003975 40.742863),9 AVENUE,WEST 17 STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4289894,Sedan,Taxi,,,
2020-02-15,21:00:00,BROOKLYN,11213,40.66846,-73.94229,POINT (-73.94229 40.66846),UNION STREET,KINGSTON AVENUE,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4288916,Sedan,Box Truck,,,
2020-02-15,14:24:00,,,40.81766,-73.93076,POINT (-73.93076 40.81766),MAJOR DEEGAN EXPRESSWAY,,,0,0,0,0,0,0,0,0,Unspecified,,,,,4289515,Pick-up Truck,,,,
2020-02-15,15:35:00,BRONX,10466,40.88874,-73.842804,POINT (-73.842804 40.88874),,,1203 EAST 233 STREET,0,0,0,0,0,0,0,0,Aggressive Driving/Road Rage,Unspecified,,,,4289683,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2020-02-15,01:00:00,BROOKLYN,11225,40.66411,-73.96034,POINT (-73.96034 40.66411),FRANKLIN AVENUE,SULLIVAN PLACE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,,4288743,Sedan,Station Wagon/Sport Utility Vehicle,Taxi,,
2020-02-15,15:30:00,BRONX,10451,40.826153,-73.920265,POINT (-73.920265 40.826153),EAST 161 STREET,SHERMAN AVENUE,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4289013,Sedan,Pick-up Truck,,,
2020-02-15,18:15:00,,,,,,TRIBOROUGH BRIDGE,,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,,,,,4289089,Sedan,,,,
2020-02-15,21:50:00,MANHATTAN,10019,40.76177,-73.979065,POINT (-73.979065 40.76177),WEST 53 STREET,AVENUE OF THE AMERICAS,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,4289301,Sedan,Box Truck,,,
2020-02-15,13:45:00,,,40.726265,-73.81075,POINT (-73.81075 40.726265),KISSENA BOULEVARD,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4288874,Sedan,Station Wagon/Sport Utility Vehicle,,,
2020-02-15,03:51:00,,,40.841877,-73.8888,POINT (-73.8888 40.841877),CROSS BRONX EXPY,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,,,,,4289662,Station Wagon/Sport Utility Vehicle,,,,
2020-02-15,02:28:00,BROOKLYN,11235,40.58655,-73.96617,POINT (-73.96617 40.58655),,,2601 OCEAN PARKWAY,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4289639,Taxi,Station Wagon/Sport Utility Vehicle,,,
2020-02-15,11:00:00,,,40.821117,-73.957466,POINT (-73.957466 40.821117),WEST 135 STREET,,,0,0,0,0,0,0,0,0,Unspecified,,,,,4289825,Sedan,,,,
2020-02-15,06:11:00,,,40.815327,-73.93576,POINT (-73.93576 40.815327),WEST 139 STREET,,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4289689,Sedan,,,,
2020-02-15,00:02:00,MANHATTAN,10029,40.79931,-73.943245,POINT (-73.943245 40.79931),EAST 116 STREET,PARK AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4288639,Sedan,Sedan,,,
2020-02-15,16:30:00,,,40.689735,-73.72674,POINT (-73.72674 40.689735),CROSS ISLAND PARKWAY,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4288758,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2020-02-15,10:30:00,BRONX,10467,40.884342,-73.886765,POINT (-73.886765 40.884342),MOSHOLU PARKWAY,WEST GUN HILL ROAD,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4288648,Sedan,Station Wagon/Sport Utility Vehicle,,,
2020-02-15,15:50:00,QUEENS,11374,40.727753,-73.85861,POINT (-73.85861 40.727753),SAUNDERS STREET,65 ROAD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4288799,Station Wagon/Sport Utility Vehicle,Sedan,,,
2020-02-15,11:50:00,MANHATTAN,10025,40.790928,-73.96893,POINT (-73.96893 40.790928),WEST 93 STREET,COLUMBUS AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,4289531,Station Wagon/Sport Utility Vehicle,Sedan,,,
2020-02-15,17:10:00,QUEENS,11237,40.707817,-73.91923,POINT (-73.91923 40.707817),WILLOUGHBY AVENUE,CYPRESS AVENUE,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4289152,Station Wagon/Sport Utility Vehicle,Taxi,,,
2020-02-15,14:15:00,QUEENS,11435,40.706192,-73.80816,POINT (-73.80816 40.706192),,,148-55 HILLSIDE AVENUE,1,0,0,0,0,0,1,0,Driver Inexperience,,,,,4289814,Sedan,,,,
2020-02-15,13:50:00,MANHATTAN,10065,40.761486,-73.96062,POINT (-73.96062 40.761486),EAST 62 STREET,1 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4289581,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2020-02-15,19:43:00,BROOKLYN,11209,40.617588,-74.029564,POINT (-74.029564 40.617588),,,9221 5 AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4288807,Station Wagon/Sport Utility Vehicle,FIRE TRUCK,,,
2020-02-15,12:14:00,BROOKLYN,11236,40.63874,-73.8952,POINT (-73.8952 40.63874),AVENUE L,ROCKAWAY PARKWAY,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4289763,Sedan,Station Wagon/Sport Utility Vehicle,,,
2020-02-15,02:24:00,BRONX,10458,40.864525,-73.88784,POINT (-73.88784 40.864525),,,2703 WEBSTER AVENUE,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4288610,Taxi,Sedan,,,
2020-02-15,14:30:00,BROOKLYN,11203,40.650642,-73.92159,POINT (-73.92159 40.650642),EAST 59 STREET,SNYDER AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4289368,Sedan,Sedan,,,
2020-02-15,19:25:00,,,40.76518,-73.946754,POINT (-73.946754 40.76518),,,688 MAIN STREET,0,0,0,0,0,0,0,0,Unspecified,,,,,4288945,Station Wagon/Sport Utility Vehicle,,,,
